"user_id,username,email,password,user_type,account_status,address,date_registered,year,month,day"
"1,user1,user1@example.com,password1,regular,active,{""street"":""123 Main St"",""city"":""City1"",""state"":""State1"",""postal_code"":""12345""},2022-01-01T10:00:00,2022,1,1"
"2,user2,user2@example.com,password2,regular,active,{""street"":""456 Elm St"",""city"":""City2"",""state"":""State2"",""postal_code"":""67890""},2022-01-02T11:00:00,2022,1,2"
"3,user3,user3@example.com,password3,premium,active,{""street"":""789 Oak St"",""city"":""City3"",""state"":""State3"",""postal_code"":""12345""},2022-01-03T12:00:00,2022,1,3"
"4,user4,user4@example.com,password4,regular,active,{""street"":""101 Pine St"",""city"":""City4"",""state"":""State4"",""postal_code"":""67890""},2022-01-04T13:00:00,2022,1,4"
"5,user5,user5@example.com,password5,regular,active,{""street"":""202 Cedar St"",""city"":""City5"",""state"":""State5"",""postal_code"":""12345""},2022-01-05T14:00:00,2022,1,5"
"6,user6,user6@example.com,password6,premium,active,{""street"":""303 Maple St"",""city"":""City6"",""state"":""State6"",""postal_code"":""67890""},2022-01-06T15:00:00,2022,1,6"
"7,user7,user7@example.com,password7,regular,active,{""street"":""404 Birch St"",""city"":""City7"",""state"":""State7"",""postal_code"":""12345""},2022-01-07T16:00:00,2022,1,7"
"8,user8,user8@example.com,password8,regular,active,{""street"":""505 Walnut St"",""city"":""City8"",""state"":""State8"",""postal_code"":""67890""},2022-01-08T17:00:00,2022,1,8"
"9,user9,user9@example.com,password9,premium,active,{""street"":""606 Ash St"",""city"":""City9"",""state"":""State9"",""postal_code"":""12345""},2022-01-09T18:00:00,2022,1,9"
"10,user10,user10@example.com,password10,regular,active,{""street"":""707 Chestnut St"",""city"":""City10"",""state"":""State10"",""postal_code"":""67890""},2022,1,10"
"11,user11,user11@example.com,password11,regular,active,{""street"":""808 Spruce St"",""city"":""City11"",""state"":""State11"",""postal_code"":""12345""},2022-01-11T20:00:00,2022,1,11"
"12,user12,user12@example.com,password12,premium,active,{""street"":""909 Oak St"",""city"":""City12"",""state"":""State12"",""postal_code"":""67890""},2022-01-12T21:00:00,2022,1,12"
"13,user13,user13@example.com,password13,regular,active,{""street"":""1010 Pine St"",""city"":""City13"",""state"":""State13"",""postal_code"":""12345""},2022-01-13T22:00:00,2022,1,13"
"14,user14,user14@example.com,password14,regular,active,{""street"":""1111 Cedar St"",""city"":""City14"",""state"":""State14"",""postal_code"":""67890""},2022-01-14T23:00:00,2022,1,14"
"15,user15,user15@example.com,password15,premium,active,{""street"":""1212 Maple St"",""city"":""City15"",""state"":""State15"",""postal_code"":""12345""},2022-01-15T00:00:00,2022,1,15"
"16,user16,user16@example.com,password16,regular,active,{""street"":""1313 Birch St"",""city"":""City16"",""state"":""State16"",""postal_code"":""67890""},2022-01-16T01:00:00,2022,1,16"
"17,user17,user17@example.com,password17,regular,active,{""street"":""1414 Walnut St"",""city"":""City17"",""state"":""State17"",""postal_code"":""12345""},2022-01-17T02:00:00,2022,1,17"
"18,user18,user18@example.com,password18,premium,active,{""street"":""1515 Ash St"",""city"":""City18"",""state"":""State18"",""postal_code"":""67890""},2022-01-18T03:00:00,2022,1,18"
"19,user19,user19@example.com,password19,regular,active,{""street"":""1616 Chestnut St"",""city"":""City19"",""state"":""State19"",""postal_code"":""12345""},2022,1,19"
"20,user20,user20@example.com,password20,regular,active,{""street"":""1717 Spruce St"",""city"":""City20"",""state"":""State20"",""postal_code"":""67890""},2022,1,20"
"21,user21,user21@example.com,password21,premium,active,{""street"":""1818 Oak St"",""city"":""City21"",""state"":""State21"",""postal_code"":""12345""},2022,1,21"
